T,time,acceleration
1,0.0988849,0.985188
2,0.0863563,1.12812
3,0.0740356,1.31586
4,0.0735587,1.32439
5,0.07809,1.24754
6,0.074817,1.30211
7,0.0715023,1.36248
8,0.0746223,1.30551
9,0.075453,1.29114
10,0.127645,0.763213
11,0.0965623,1.00888
12,0.138732,0.702217
